Date,Open,High,Low,Close,Volume
8/24/2018,54.150002,54.224998,53.7775,54.040001,73905600
8/27/2018,54.287498,54.685001,54.0825,54.485001,82100400
8/28/2018,54.752499,55.134998,54.73,54.924999,91107200
8/29/2018,55.037498,55.872501,54.852501,55.744999,109019200
8/30/2018,55.8125,57.064999,55.599998,56.2575,195175200
8/31/2018,56.627499,57.217499,56.5,56.907501,173360400
9/4/2018,57.102501,57.294998,56.657501,57.09,109560400
9/5/2018,57.247501,57.4175,56.275002,56.717499,133332000
9/6/2018,56.557499,56.837502,55.325001,55.775002,137160000
9/7/2018,55.462502,56.342499,55.177502,55.325001,150479200
9/10/2018,55.237499,55.462502,54.1175,54.5825,158066000
9/11/2018,54.502499,56.075001,54.139999,55.962502,142996000
9/12/2018,56.235001,56.25,54.959999,55.267502,197114800
9/13/2018,55.880001,57.087502,55.642502,56.602501,166825600
9/14/2018,56.4375,56.709999,55.630001,55.959999,127997200
9/17/2018,55.537498,55.737499,54.317501,54.470001,148780400
9/18/2018,54.447498,55.462502,54.279999,54.560001,126286800
9/19/2018,54.625,54.904999,53.825001,54.592499,108495200
9/20/2018,55.060001,55.57,54.787498,55.0075,106435200
9/21/2018,55.195,55.34,54.322498,54.415001,384986800
9/24/2018,54.205002,55.314999,54.157501,55.197498,110773600
9/25/2018,54.9375,55.705002,54.924999,55.547501,98217600
9/26/2018,55.25,55.9375,54.939999,55.105,95938800
9/27/2018,55.955002,56.610001,55.884998,56.237499,120724800
9/28/2018,56.197498,56.459999,56.005001,56.435001,91717600
10/1/2018,56.987499,57.355,56.587502,56.814999,94403200
10/2/2018,56.8125,57.5,56.657501,57.32,99152800
10/3/2018,57.512501,58.3675,57.445,58.017502,114619200
10/4/2018,57.695,58.087502,56.682499,56.997501,128168000
10/5/2018,56.990002,57.102501,55.145,56.072498,134322000
10/8/2018,55.552502,56.200001,55.049999,55.942501,118655600
10/9/2018,55.91,56.817501,55.5625,56.717499,107564000
10/10/2018,56.365002,56.587502,54.012501,54.09,167962400
10/11/2018,53.630001,54.875,53.080002,53.612499,212497600
10/12/2018,55.105,55.720001,54.209999,55.5275,161351600
10/15/2018,55.290001,55.4575,54.317501,54.34,123164000
